Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","135 Andrew Young International Blvd NW, Atlanta, GA 30303, USA",Fulton County,Atlanta,GA,30303,33.7599121,-84.3917791
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1099 Northside Dr NW, Atlanta, GA 30318, USA",Fulton County,Atlanta,GA,30318,33.78469870000001,-84.40707139999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1700 Howell Mill Rd, Atlanta, GA 30318, USA",Fulton County,Atlanta,GA,30318,33.8007561,-84.4162202
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","66 5th St NW, Atlanta, GA 30332, USA",Fulton County,Atlanta,GA,30332,33.7766569,-84.38946240000001
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2581 Piedmont Rd NE, Atlanta, GA 30324, USA",Fulton County,Atlanta,GA,30324,33.8256085,-84.3659725
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","760 Dekalb Industrial Way, Decatur, GA 30033, USA",DeKalb County,Decatur,GA,30033,33.7986062,-84.2804963
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1674 Washington Rd, East Point, GA 30344, USA",Fulton County,East Point,GA,30344,33.6752749,-84.4436589
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1227 Virginia Ave, East Point, GA 30344, USA",Fulton County,East Point,GA,30344,33.6593232,-84.4292237
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3016 Piedmont Rd, Atlanta, GA 30305, USA",Fulton County,Atlanta,GA,30305,33.8373795,-84.36860089999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","100 Piedmont Ave SE, Atlanta, GA 30303, USA",Fulton County,Atlanta,GA,30303,33.7510338,-84.385576
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","860 Glenwood Ave SE, Atlanta, GA 30316, USA",Fulton County,Atlanta,GA,30316,33.7407582,-84.36184109999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2264 Cheshire Bridge Rd NE, Atlanta, GA 30324, USA",Fulton County,Atlanta,GA,30324,33.8169549,-84.35259289999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1425 Virginia Ave, College Park, GA 30337, USA",Fulton County,College Park,GA,30337,33.6595264,-84.4358105
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","839 Virginia Ave, Hapeville, GA 30354, USA",Fulton County,Hapeville,GA,30354,33.6592181,-84.41673469999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2025 Bolton Rd NW, Atlanta, GA 30318, USA",Fulton County,Atlanta,GA,30318,33.8107196,-84.4753796
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2914 Memorial Dr SE, Atlanta, GA 30317, USA",DeKalb County,Atlanta,GA,30317,33.7473669,-84.29117870000002
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2812 Buford Hwy NE, Atlanta, GA 30329, USA",DeKalb County,Atlanta,GA,30329,33.8309515,-84.3439566
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2886 Clairmont Rd, Atlanta, GA 30329, USA",DeKalb County,Atlanta,GA,30329,33.8411294,-84.31404239999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2642 Windy Hill Rd SE, Marietta, GA 30067, USA",Cobb County,Marietta,GA,30067,33.9005659,-84.47720679999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4532 Chamblee Dunwoody Rd, Atlanta, GA 30338, USA",DeKalb County,Atlanta,GA,30338,33.9236119,-84.3151888
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2805 Delk Rd, Marietta, GA 30067, USA",Cobb County,Marietta,GA,30067,33.9244396,-84.4699918
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5071 Peachtree Industrial Blvd, Chamblee, GA 30341, USA",DeKalb County,Chamblee,GA,30341,33.8879772,-84.3133756
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3735 Roswell Rd, Atlanta, GA 30342, USA",Fulton County,Atlanta,GA,30342,33.8570616,-84.3817412
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2758 Cobb Pkwy SE, Atlanta, GA 30339, USA",Cobb County,Atlanta,GA,30339,33.885114,-84.4717546
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","6445 Roswell Rd, Sandy Springs, GA 30328, USA",Fulton County,Sandy Springs,GA,30328,33.9308491,-84.3792776
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","920 Cobb Pkwy SE, Marietta, GA 30060, USA",Cobb County,Marietta,GA,30060,33.9296508,-84.5097055
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4458 Atlanta Rd, Smyrna, GA 30080, USA",Cobb County,Smyrna,GA,30080,33.84481,-84.49083999999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5565 Northside Dr NW, Atlanta, GA 30327, USA",Fulton County,Atlanta,GA,30327,33.9058722,-84.4309497
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4065 Peachtree Rd, Atlanta, GA 30319, USA",DeKalb County,Atlanta,GA,30319,33.8610705,-84.33907980000001
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4852 Old National Hwy, College Park, GA 30337, USA",Fulton County,College Park,GA,30337,33.6232024,-84.47388629999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4995 Old National Hwy, College Park, GA 30349, USA",Fulton County,College Park,GA,30349,33.6190534,-84.47368139999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5480 Riverdale Rd, College Park, GA 30349, USA",Clayton County,College Park,GA,30349,33.6058134,-84.43488119999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2735 Forest Pkwy, Ellenwood, GA 30294, USA",Clayton County,Ellenwood,GA,30294,33.6119895,-84.3004624
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","109 Forest Pkwy, Forest Park, GA 30297, USA",Clayton County,Forest Park,GA,30297,33.6185529,-84.386594
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5195 Jonesboro Rd, Lake City, GA 30260, USA",Clayton County,Lake City,GA,30260,33.6129259,-84.3491965
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3036 Anvilblock Rd, Ellenwood, GA 30294, USA",Clayton County,Ellenwood,GA,30294,33.6341826,-84.28922349999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3916 Flat Shoals Pkwy, Decatur, GA 30034, USA",DeKalb County,Decatur,GA,30034,33.6943529,-84.26122400000001
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1194 Columbia Dr, Decatur, GA 30032, USA",DeKalb County,Decatur,GA,30032,33.7543474,-84.2664824
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2548 Wesley Chapel Rd, Decatur, GA 30035, USA",DeKalb County,Decatur,GA,30035,33.713935,-84.21583969999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","4740 Flat Shoals Pkwy, Decatur, GA 30034, USA",DeKalb County,Decatur,GA,30034,33.6833081,-84.23296719999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","4300 Covington Hwy, Decatur, GA 30035, USA",DeKalb County,Decatur,GA,30035,33.7506001,-84.2275895
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2963 Lawrenceville Hwy, Tucker, GA 30084, USA",DeKalb County,Tucker,GA,30084,33.8286068,-84.2493746
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1856 Mountain Industrial Blvd, Tucker, GA 30084, USA",DeKalb County,Tucker,GA,30084,33.8378251,-84.2014165
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","4737 Redan Rd, Stone Mountain, GA 30088, USA",DeKalb County,Stone Mountain,GA,30088,33.7617539,-84.19793039999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5970 Memorial Dr, Stone Mountain, GA 30083, USA",DeKalb County,Stone Mountain,GA,30083,33.8021614,-84.1948353
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","2850 E College Ave, Decatur, GA 30030, USA",DeKalb County,Decatur,GA,30030,33.7755466,-84.2737957
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","5602 Mableton Pkwy SW, Mableton, GA 30126, USA",Cobb County,Mableton,GA,30126,33.8175799,-84.57628059999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","6035 Bakers Ferry Rd, Atlanta, GA 30336, USA",Fulton County,Atlanta,GA,30336,33.7294539,-84.5729245
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","613 Thornton Rd, Lithia Springs, GA 30122, USA",Douglas County,Lithia Springs,GA,30122,33.7880415,-84.62163629999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1395 Highlands Ridge Rd SE, Smyrna, GA 30082, USA",Cobb County,Smyrna,GA,30082,33.840534,-84.5193341
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","908 Thornton Rd, Lithia Springs, GA 30122, USA",Douglas County,Lithia Springs,GA,30122,33.7796743,-84.606597
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1450 Veterans Memorial Hwy SE, Mableton, GA 30126, USA",Cobb County,Mableton,GA,30126,33.7985542,-84.51281159999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1515 McFarland Pkwy, Alpharetta, GA 30005, USA",Forsyth County,Alpharetta,GA,30005,34.1109225,-84.2196591
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","8604 Roswell Rd, Sandy Springs, GA 30350, USA",Fulton County,Sandy Springs,GA,30350,33.9896493,-84.3521305
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1470 Holcomb Bridge Rd, Roswell, GA 30076, USA",Fulton County,Roswell,GA,30076,34.0206258,-84.318066
